tiempo,variable_filtrada
1.24,-6.91
1.24,-5.68
1.25,-4.40
1.25,-3.18
1.25,-2.13
1.25,-1.34
1.25,-0.87
1.25,-0.67
1.25,-0.61
1.25,-0.49
1.25,-0.03
1.25,1.03
1.25,2.90
1.26,5.65
1.26,9.19
1.26,13.26
1.26,17.50
1.26,21.52
1.26,24.99
1.26,27.76
1.26,29.82
1.26,31.33
1.26,32.51
1.27,33.55
1.27,34.54
1.27,35.49
1.27,36.31
1.27,36.92
1.27,37.33
1.27,37.64
1.27,38.05
1.27,38.83
1.27,40.23
1.28,42.39
1.28,45.33
1.28,48.87
1.28,52.71
1.28,56.49
1.28,59.92
1.28,62.82
1.28,65.15
1.28,67.04
1.28,68.64
1.29,70.11
1.29,71.52
1.29,72.89
1.29,74.23
1.29,75.53
1.29,76.87
1.29,78.35
1.29,80.06
1.29,82.05
1.29,84.31
1.30,86.79
1.30,89.44
1.30,92.23
1.30,95.17
1.30,98.29
1.30,101.61
1.30,105.10
1.30,108.70
1.30,112.31
1.30,115.84
1.31,119.22
1.31,122.40
1.31,125.31
1.31,127.89
1.31,130.00
1.31,131.49
1.31,132.23
1.31,132.21
1.31,131.59
1.31,130.67
1.32,129.85
1.32,129.45
1.32,129.65
1.32,130.47
1.32,131.81
1.32,133.53
1.32,135.56
1.32,137.83
1.32,140.31
1.32,142.88
1.33,145.36
1.33,147.50
1.33,149.05
1.33,149.88
1.33,149.96
1.33,149.45
1.33,148.53
1.33,147.40
1.33,146.12
1.33,144.68
1.34,142.97
1.34,140.98
1.34,138.79
1.34,136.68
1.34,134.97
1.34,133.96
1.34,133.69
1.34,133.88
1.34,133.95
1.34,133.17
1.35,130.95
1.35,126.97
1.35,121.36
1.35,114.62
1.35,107.40
1.35,100.34
1.35,93.84
1.35,88.03
1.35,82.79
1.35,77.89
1.36,73.13
1.36,68.40
1.36,63.72
1.36,59.15
1.36,54.74
1.36,50.46
1.36,46.21
1.36,41.82
1.36,37.13
1.36,32.00
1.37,26.30
1.37,19.89
1.37,12.65
1.37,4.49
1.37,-4.64
1.37,-14.64
1.37,-25.30
1.37,-36.30
1.37,-47.27
1.38,-57.85
1.38,-67.71
1.38,-76.64
1.38,-84.54
1.38,-91.39
1.38,-97.27
1.38,-102.28
1.38,-106.57
1.38,-110.28
1.38,-113.59
1.39,-116.69
1.39,-119.76
1.39,-122.95
1.39,-126.32
1.39,-129.87
1.39,-133.52
1.39,-137.15
1.39,-140.66
1.39,-144.02
1.39,-147.26
1.40,-150.46
1.40,-153.69
1.40,-156.98
1.40,-160.28
1.40,-163.41
1.40,-166.20
1.40,-168.44
1.40,-170.04
1.40,-171.01
1.40,-171.48
1.41,-171.64
1.41,-171.67
1.41,-171.70
1.41,-171.80
1.41,-171.96
1.41,-172.14
1.41,-172.29
1.41,-172.39
1.41,-172.40
1.41,-172.29
1.42,-172.01
1.42,-171.52
1.42,-170.83
1.42,-169.96
1.42,-169.03
1.42,-168.16
1.42,-167.44
1.42,-166.89
1.42,-166.42
1.42,-165.88
1.43,-165.10
1.43,-163.95
1.43,-162.40
1.43,-160.47
1.43,-158.25
1.43,-155.86
1.43,-153.41
1.43,-151.00
1.43,-148.71
1.43,-146.59
1.44,-144.73
1.44,-143.19
1.44,-142.00
1.44,-141.21
1.44,-140.78
1.44,-140.68
1.44,-140.80
1.44,-140.99
1.44,-141.08
1.44,-140.86
1.45,-140.13
1.45,-138.70
1.45,-136.43
1.45,-133.30
1.45,-129.38
1.45,-124.95
1.45,-120.45
1.45,-116.40
1.45,-113.38
1.45,-111.80
1.46,-111.81
1.46,-113.26
1.46,-115.66
1.46,-118.35
1.46,-120.65
1.46,-122.03
1.46,-122.24
1.46,-121.32
1.46,-119.54
1.46,-117.30
1.47,-114.95
1.47,-112.74
1.47,-110.78
1.47,-109.07
1.47,-107.54
1.47,-106.11
1.47,-104.73
1.47,-103.32
1.47,-101.85
1.47,-100.28
1.48,-98.60
1.48,-96.81
1.48,-94.98
1.48,-93.25
1.48,-91.74
1.48,-90.61
1.48,-89.97
1.48,-89.89
1.48,-90.34
1.48,-91.30
1.49,-92.66
1.49,-94.26
1.49,-95.91
1.49,-97.37
1.49,-98.37
1.49,-98.69
1.49,-98.19
1.49,-96.86
1.49,-94.85
1.49,-92.41
1.50,-89.86
1.50,-87.51
1.50,-85.53
1.50,-83.93
1.50,-82.56
1.50,-81.12
1.50,-79.34
1.50,-77.00
1.50,-74.00
1.50,-70.43
1.50,-66.47
1.51,-62.42
1.51,-58.61
1.51,-55.37
1.51,-52.95
1.51,-51.51
1.51,-51.03
1.51,-51.34
1.51,-52.16
1.51,-53.17
1.51,-54.08
1.52,-54.71
1.52,-55.03
1.52,-55.12
1.52,-55.07
1.52,-54.93
1.52,-54.65
1.52,-54.08
1.52,-53.08
1.52,-51.56
1.52,-49.59
1.53,-47.39
1.53,-45.27
1.53,-43.55
1.53,-42.45
1.53,-42.01
1.53,-42.15
1.53,-42.67
1.53,-43.35
1.53,-44.05
1.53,-44.72
1.54,-45.44
1.54,-46.34
1.54,-47.53
1.54,-49.06
1.54,-50.87
1.54,-52.77
1.54,-54.49
1.54,-55.72
1.54,-56.19
1.54,-55.71
1.55,-54.15
1.55,-51.46
1.55,-47.57
1.55,-42.42
1.55,-36.04
1.55,-28.62
1.55,-20.58
1.55,-12.60
1.55,-5.52
1.55,-0.21
1.56,2.69
1.56,2.88
1.56,0.51
1.56,-3.87
1.56,-9.46
1.56,-15.40
1.56,-20.99
1.56,-25.76
1.56,-29.56
1.56,-32.45
1.57,-34.60
1.57,-36.22
1.57,-37.51
1.57,-38.57
1.57,-39.43
1.57,-40.05
1.57,-40.30
1.57,-40.02
1.57,-39.10
1.57,-37.54
1.58,-35.57
1.58,-33.55
1.58,-31.90
1.58,-30.98
1.58,-30.89
1.58,-31.47
1.58,-32.32
1.58,-32.99
1.58,-33.13
1.58,-32.59
1.59,-31.47
1.59,-30.02
1.59,-28.55
1.59,-27.31
1.59,-26.42
1.59,-25.87
1.59,-25.58
1.59,-25.43
1.59,-25.31
1.59,-25.12
1.60,-24.78
1.60,-24.21
1.60,-23.37
1.60,-22.28
1.60,-21.02
1.60,-19.75
1.60,-18.67
1.60,-17.98
1.60,-17.80
1.60,-18.17
1.61,-18.98
1.61,-20.02
1.61,-21.03
1.61,-21.73
1.61,-21.88
1.61,-21.35
1.61,-20.10
1.61,-18.18
1.61,-15.76
1.61,-13.14
1.62,-10.79
1.62,-9.29
1.62,-9.23
1.62,-11.00
1.62,-14.62
1.62,-19.67
1.62,-25.28
1.62,-30.36
1.62,-33.83
1.62,-34.88
1.63,-33.19
1.63,-28.98
